Date,SeqNum,r1,r2,r3,r4,r5,r6,b,Revenue,1st,2nd
2003-6-1,2003029,2,7,15,26,29,32,10,"17,515,374",0,0
2003-6-5,2003030,2,6,13,14,23,27,7,"16,765,384",0,0
2003-6-8,2003031,11,17,20,22,28,32,1,"18,101,608",0,0
2003-6-12,2003032,4,11,25,27,29,30,13,"20,115,568",0,0
2003-6-15,2003033,1,7,14,20,27,30,10,"22,266,754",0,0
2003-6-19,2003034,8,13,14,16,23,25,14,"22,899,946",0,0
2003-6-22,2003035,3,4,5,8,10,11,8,"25,179,768",0,0
2003-6-26,2003036,7,21,24,25,27,28,15,"25,054,376",0,0
2003-6-29,2003037,9,14,17,18,26,32,7,"26,257,640",0,0
2003-7-3,2003038,5,7,8,24,25,27,16,"26,782,590",0,0
2003-7-6,2003039,3,5,23,24,27,32,3,"27,694,202",0,0
2003-7-10,2003040,4,5,6,12,14,23,16,"27,328,054",0,0
2003-7-13,2003041,2,3,17,18,24,25,11,"28,265,402",0,0
2003-7-17,2003042,3,5,7,10,15,20,7,"26,607,702",0,0
2003-7-20,2003043,2,8,10,19,20,32,13,"27,416,990",0,0
2003-7-24,2003044,2,5,9,16,32,33,15,"26,537,776",0,0
2003-7-27,2003045,3,7,14,15,17,32,3,"26,657,064",0,0
2003-7-31,2003046,7,8,10,11,17,26,11,"27,144,542",0,0
2003-8-3,2003047,3,17,26,28,32,33,16,"28,355,638",0,0
2003-8-7,2003048,10,12,20,28,30,31,9,"27,557,888",0,0
2003-8-10,2003049,3,6,7,13,24,25,15,"27,734,490",0,0
2003-8-14,2003050,2,8,17,23,24,26,13,"28,450,710",0,0
2003-8-17,2003051,4,13,15,17,24,27,1,"24,831,800",0,0
2003-8-21,2003052,1,12,13,23,30,31,11,"28,371,758",0,0
2003-8-24,2003053,15,19,20,21,28,29,13,"29,854,724",0,0
2003-8-28,2003054,2,5,9,21,31,33,12,"29,449,334",0,0
2003-8-31,2003055,6,13,16,21,28,31,16,"29,508,178",0,0
2003-9-4,2003056,8,17,21,26,28,29,7,"32,664,536",0,0
2003-9-7,2003057,18,19,24,25,30,31,16,"32,781,224",0,0
2003-9-11,2003058,9,11,16,28,32,33,2,"31,985,104",0,0
2003-9-14,2003059,2,3,5,6,18,30,4,"33,611,668",0,0
2003-9-18,2003060,2,4,6,17,21,28,11,"35,595,266",0,0
2003-9-21,2003061,3,5,20,21,28,32,2,"38,065,358",0,0
2003-9-25,2003062,1,6,12,19,20,32,14,"40,972,030",0,0
2003-9-28,2003063,5,8,9,14,21,33,11,"45,643,734",0,0
2003-10-2,2003064,4,6,8,12,15,30,1,"40,925,392",0,0
2003-10-5,2003065,6,15,16,17,30,33,11,"41,948,818",0,0
2003-10-9,2003066,3,7,8,20,24,32,14,"45,124,280",0,0
2003-10-12,2003067,5,11,12,13,27,31,10,"48,129,830",0,0
2003-10-16,2003068,9,19,25,27,32,33,11,"46,972,102",0,0
2003-10-19,2003069,7,11,16,19,26,28,11,"45,227,392",0,0
2003-10-23,2003070,1,2,4,17,18,19,8,"48,248,338",0,0
2003-10-26,2003071,9,11,12,14,15,33,11,"55,288,802",0,0
2003-10-30,2003072,3,6,8,11,19,27,11,"63,510,334",0,0
2003-11-2,2003073,2,12,14,21,23,30,13,"57,551,772",0,0
2003-11-6,2003074,2,12,19,22,27,32,1,"59,866,792",0,0
2003-11-9,2003075,16,17,19,22,31,33,11,"52,503,898",0,0
2003-11-13,2003076,1,13,16,18,20,29,2,"58,283,200",0,0
2003-11-16,2003077,4,12,16,22,24,25,6,"59,628,070",0,0
2003-11-20,2003078,7,12,23,26,29,30,11,"61,385,292",0,0
2003-11-23,2003079,12,15,22,23,26,31,4,"61,225,192",0,0
2003-11-27,2003080,9,20,24,25,28,30,10,"61,168,028",0,0
2003-11-30,2003081,1,2,14,26,29,30,7,"62,508,530",0,0
2003-12-4,2003082,7,17,18,19,30,31,14,"61,740,044",0,0
2003-12-7,2003083,1,3,14,18,26,28,1,"59,695,084",0,0
2003-12-11,2003084,2,6,7,10,17,33,3,"62,314,966",0,0
2003-12-14,2003085,1,4,11,12,19,27,14,"62,490,224",0,0
2003-12-18,2003086,5,12,16,18,26,30,13,"64,581,496",0,0
2003-12-21,2003087,2,3,4,5,24,28,13,"66,127,570",0,0
2003-12-25,2003088,3,10,21,22,24,33,12,"64,097,276",0,0
2003-12-28,2003089,18,19,21,26,27,33,16,"67,728,980",0,0
2004-1-1,2004001,1,2,3,7,10,25,7,"66,703,336",0,0
2004-1-4,2004002,10,12,18,22,30,31,11,"68,295,172",0,0
2004-1-8,2004003,3,5,6,17,26,33,8,"68,220,442",0,0
2004-1-11,2004004,10,19,22,23,25,29,9,"68,221,230",0,0
2004-1-15,2004005,9,11,13,16,17,18,7,"67,960,088",0,0
2004-1-18,2004006,4,12,18,20,23,32,6,"70,062,020",0,0
2004-1-29,2004007,4,12,17,20,25,28,9,"55,455,670",0,0
2004-2-1,2004008,1,7,10,22,32,33,13,"56,569,688",0,0
2004-2-5,2004009,1,9,10,16,22,24,11,"62,089,966",0,0
2004-2-8,2004010,6,7,8,13,14,19,15,"63,960,828",0,0
2004-2-12,2004011,1,4,13,23,28,30,3,"64,816,706",0,0
2004-2-15,2004012,1,7,27,30,31,33,8,"63,403,910",0,0
2004-2-19,2004013,12,14,21,29,30,32,13,"64,366,718",0,0
2004-2-22,2004014,3,7,11,17,20,26,12,"63,952,992",0,0
2004-2-26,2004015,1,3,5,18,22,23,13,"67,256,520",0,0
2004-2-29,2004016,4,7,8,28,30,32,5,"64,489,348",0,0
2004-3-4,2004017,5,12,14,15,25,31,9,"64,576,288",0,0
2004-3-7,2004018,2,5,6,8,28,30,6,"66,466,596",0,0
2004-3-11,2004019,5,10,11,23,24,32,4,"70,336,884",0,0
2004-3-14,2004020,1,2,9,22,28,31,4,"72,242,026",0,0
2004-3-18,2004021,5,9,11,17,26,27,10,"73,472,684",0,0
2004-3-21,2004022,3,10,14,19,20,30,6,"75,568,694",0,0
2004-3-25,2004023,1,8,14,17,19,30,3,"76,833,710",0,0
2004-3-28,2004024,1,13,21,23,25,32,6,"86,812,189",0,0
2004-4-1,2004025,7,8,10,24,29,33,4,"96,888,986",0,0
2004-4-4,2004026,4,10,14,18,28,32,15,"92,237,208",0,0
2004-4-8,2004027,1,5,9,10,18,32,11,"89,134,080",0,0
2004-4-11,2004028,1,2,3,5,10,22,12,"91,292,310",0,0
2004-4-15,2004029,9,13,20,22,24,32,5,"88,313,002",0,0
2004-4-18,2004030,1,7,9,17,26,31,5,"85,809,328",0,0
2004-4-22,2004031,3,6,19,20,21,24,11,"93,249,470",0,0
2004-4-25,2004032,2,5,8,11,15,31,13,"95,382,618",0,0
2004-4-29,2004033,1,4,8,9,19,20,1,"95,181,550",0,0
2004-5-2,2004034,2,7,13,20,27,30,14,"87,333,028",0,0
2004-5-6,2004035,2,8,26,27,30,32,16,"80,558,094",0,0
2004-5-9,2004036,2,13,17,18,26,30,1,"91,493,038",0,0
2004-5-13,2004037,3,4,11,17,20,26,5,"88,267,394",0,0
2004-5-16,2004038,11,16,17,25,28,29,7,"88,138,308",0,0
2004-5-20,2004039,10,16,18,25,26,29,3,"89,037,042",0,0
2004-5-23,2004040,7,17,19,20,21,29,11,"88,282,398",0,0
2004-5-27,2004041,8,10,17,22,25,29,14,"87,199,902",0,0
2004-5-30,2004042,6,10,13,17,18,21,2,"86,844,222",0,0
2004-6-3,2004043,4,9,10,21,22,24,10,"88,243,112",0,0
2004-6-6,2004044,2,6,7,12,31,32,5,"88,925,916",0,0
2004-6-10,2004045,1,12,18,26,27,28,13,"87,139,276",0,0
2004-6-13,2004046,7,15,16,22,23,32,14,"84,024,020",0,0
2004-6-17,2004047,1,7,8,11,27,31,6,"83,699,424",0,0
2004-6-20,2004048,8,9,11,16,17,29,9,"82,446,706",0,0
2004-6-24,2004049,11,12,14,16,25,29,9,"82,759,940",0,0
2004-6-27,2004050,6,7,19,21,25,29,2,"79,279,672",0,0
2004-7-1,2004051,2,3,9,10,15,29,11,"77,098,174",0,0
2004-7-4,2004052,1,12,14,15,17,29,9,"78,771,600",0,0
2004-7-8,2004053,2,3,4,9,24,25,2,"80,917,678",0,0
2004-7-11,2004054,9,11,14,16,27,28,11,"79,867,882",0,0
2004-7-15,2004055,6,8,19,25,29,32,7,"82,803,812",0,0
2004-7-18,2004056,1,20,21,25,29,30,2,"82,258,324",0,0
2004-7-22,2004057,5,21,23,25,28,32,4,"78,588,992",0,0
2004-7-25,2004058,1,8,11,12,27,31,12,"78,945,786",0,0
2004-7-29,2004059,4,7,11,19,23,26,10,"81,550,264",0,0
2004-8-1,2004060,3,5,11,24,27,28,15,"82,300,446",0,0
2004-8-5,2004061,13,16,19,20,23,33,9,"83,100,610",0,0
2004-8-8,2004062,1,12,25,27,28,29,13,"80,873,918",0,0
2004-8-12,2004063,7,10,13,16,27,28,7,"80,827,418",0,0
2004-8-15,2004064,14,15,18,20,27,31,4,"80,884,374",0,0
2004-8-19,2004065,13,14,27,29,32,33,8,"81,729,668",0,0
2004-8-22,2004066,5,13,20,23,24,25,3,"79,363,542",0,0
2004-8-24,2004067,1,6,7,13,16,32,4,"52,451,144",0,0
2004-8-26,2004068,2,8,11,13,24,31,15,"65,964,386",0,0
2004-8-29,2004069,2,11,15,20,22,29,5,"75,514,566",0,0
2004-8-31,2004070,10,12,21,22,30,33,6,"57,522,300",0,0
2004-9-2,2004071,3,8,16,17,21,29,6,"67,283,612",0,0
2004-9-5,2004072,8,15,18,28,30,33,14,"77,849,352",0,0
2004-9-7,2004073,2,7,13,16,23,28,16,"61,137,370",0,0
2004-9-9,2004074,5,6,15,19,26,29,13,"68,096,176",0,0
2004-9-12,2004075,7,18,21,26,27,28,7,"78,991,502",0,0
2004-9-14,2004076,3,5,13,17,25,31,7,"63,859,190",0,0
2004-9-16,2004077,8,9,10,14,16,26,7,"69,121,428",0,0
2004-9-19,2004078,4,5,10,21,24,26,5,"79,354,040",0,0
2004-9-21,2004079,7,13,14,17,19,30,3,"63,685,518",0,0
2004-9-24,2004080,3,8,20,23,24,26,16,"70,123,190",0,0
2004-9-26,2004081,3,5,21,24,27,32,6,"80,066,860",0,0
2004-9-28,2004082,3,20,24,27,29,30,15,"66,973,086",0,0
2004-9-30,2004083,14,16,27,28,30,33,6,"67,740,048",0,0
2004-10-3,2004084,1,4,8,11,21,25,14,"71,287,498",0,0
2004-10-5,2004085,3,8,11,29,30,32,1,"58,608,118",0,0
2004-10-7,2004086,10,13,18,19,25,27,1,"64,152,202",0,0
2004-10-10,2004087,1,3,7,8,25,26,14,"79,731,102",0,0
2004-10-12,2004088,2,10,19,22,24,32,14,"63,311,248",0,0
2004-10-14,2004089,14,17,20,25,28,30,14,"67,942,334",0,0
2004-10-17,2004090,1,18,20,24,32,33,12,"78,631,066",0,0
2004-10-19,2004091,9,13,14,21,30,33,1,"65,871,134",0,0
2004-10-21,2004092,1,4,8,13,28,31,2,"68,711,350",0,0
2004-10-24,2004093,11,14,20,27,32,33,5,"79,237,088",0,0
2004-10-26,2004094,5,9,10,13,24,25,8,"67,261,634",0,0
2004-10-28,2004095,19,22,27,28,30,32,1,"71,852,542",0,0
2004-10-31,2004096,1,4,12,16,20,30,15,"80,026,728",0,0
2004-11-2,2004097,10,19,20,26,29,31,14,"67,373,290",0,0
2004-11-4,2004098,3,12,13,25,26,31,3,"70,521,134",0,0
2004-11-7,2004099,5,10,21,22,26,33,2,"80,866,870",0,0
2004-11-9,2004100,6,8,9,14,24,33,15,"68,740,958",0,0
2004-11-11,2004101,2,9,14,19,25,26,15,"70,744,348",0,0
2004-11-14,2004102,3,9,12,15,28,32,1,"94,949,994",0,0
2004-11-16,2004103,2,3,5,9,16,21,2,"78,484,502",0,0
2004-11-18,2004104,7,11,17,18,24,29,5,"77,680,562",0,0
2004-11-21,2004105,7,9,10,21,23,30,12,"88,083,126",0,0
2004-11-23,2004106,10,15,23,26,28,29,12,"73,170,708",0,0
2004-11-25,2004107,1,8,12,13,18,20,7,"73,766,690",0,0
2004-11-28,2004108,8,13,14,27,28,31,12,"87,178,712",0,0
2004-11-30,2004109,6,8,10,17,30,31,14,"70,969,916",0,0
2004-12-2,2004110,14,19,20,21,22,31,11,"75,845,326",0,0
2004-12-5,2004111,11,16,18,20,26,31,2,"85,650,300",0,0
2004-12-7,2004112,9,13,15,21,26,33,6,"73,167,518",0,0
2004-12-9,2004113,8,10,23,25,31,32,7,"78,297,556",0,0
2004-12-12,2004114,1,6,9,17,21,22,1,"90,387,406",0,0
2004-12-14,2004115,2,16,20,30,31,33,1,"73,673,592",0,0
2004-12-16,2004116,1,3,5,8,14,33,3,"76,958,968",0,0
2004-12-19,2004117,1,3,7,14,24,25,7,"88,600,982",0,0
2004-12-21,2004118,3,4,7,12,30,31,15,"73,120,372",0,0
2004-12-23,2004119,6,9,18,20,25,33,6,"74,319,134",0,0
2004-12-26,2004120,7,8,18,21,27,32,10,"87,000,158",0,0
2004-12-28,2004121,7,13,16,18,30,32,10,"71,029,820",0,0
2004-12-30,2004122,3,11,14,22,24,31,15,"73,723,296",0,0
2005-1-2,2005001,1,7,8,23,27,28,14,"82,345,328",0,24
2005-1-4,2005002,6,9,20,26,28,33,14,"69,161,632",1,28
2005-1-6,2005003,9,12,15,19,22,31,16,"74,532,408",6,26
2005-1-9,2005004,1,4,8,9,22,23,3,"87,357,176",4,42
2005-1-11,2005005,5,9,20,26,28,33,15,"87,357,176",2,61
2005-1-13,2005006,2,4,5,15,21,31,16,"74,203,108",2,14
2005-1-16,2005007,7,15,17,20,23,33,15,"86,322,510",2,15
2005-1-18,2005008,11,19,22,27,32,33,11,"72,041,750",1,26
2005-1-20,2005009,2,17,22,27,29,31,14,"74,072,772",1,11
2005-1-23,2005010,8,10,11,18,25,26,1,"86,560,850",5,65
2005-1-25,2005011,9,11,13,15,22,30,15,"70,934,662",1,15
2005-1-27,2005012,2,3,6,16,22,31,5,"73,524,782",2,50
2005-1-30,2005013,7,8,16,19,20,24,6,"85,862,110",9,62
2005-2-1,2005014,13,19,21,23,30,32,5,"70,400,450",3,18
2005-2-3,2005015,4,8,9,16,17,29,15,"71,767,638",1,43
2005-2-6,2005016,1,5,6,12,16,30,15,"85,896,264",0,27
2005-2-8,2005017,2,6,10,25,27,31,3,"69,139,166",2,17
2005-2-17,2005018,1,3,6,22,23,25,6,"70,853,674",1,22
2005-2-20,2005019,6,11,12,13,19,22,8,"80,017,318",1,17
2005-2-22,2005020,14,16,19,20,25,29,5,"71,772,338",1,27
2005-2-24,2005021,2,6,24,26,30,31,16,"74,925,080",0,5
2005-2-27,2005022,8,10,12,21,32,33,4,"87,869,528",8,52
2005-3-1,2005023,10,15,19,20,21,25,12,"70,112,088",4,20
2005-3-3,2005024,5,9,14,27,31,32,13,"72,808,046",4,37
2005-3-6,2005025,1,7,10,11,13,32,7,"83,986,854",1,18
2005-3-8,2005026,6,12,14,20,25,26,7,"72,124,158",1,24
2005-3-10,2005027,1,3,4,6,21,32,15,"74,896,882",1,12
2005-3-13,2005028,4,9,22,25,26,32,10,"83,942,448",1,18
2005-3-15,2005029,2,14,21,22,27,30,14,"73,015,078",0,12
2005-3-17,2005030,1,5,9,14,22,28,5,"78,215,814",3,34
2005-3-20,2005031,4,10,16,20,23,32,7,"88,181,316",1,44
2005-3-22,2005032,5,15,19,20,25,29,3,"75,420,852",4,52
2005-3-24,2005033,7,8,12,14,19,20,7,"76,996,234",0,10
2005-3-27,2005034,5,17,18,25,28,32,9,"92,625,150",8,54
2005-3-29,2005035,12,16,21,28,29,30,14,"73,995,036",1,15
2005-3-31,2005036,12,19,20,21,26,31,15,"76,548,738",0,21
2005-4-3,2005037,7,12,14,22,24,32,16,"88,843,416",1,25
2005-4-5,2005038,4,7,11,20,27,28,16,"76,754,210",2,69
2005-4-7,2005039,2,16,18,19,21,29,9,"78,209,132",2,18
2005-4-10,2005040,1,12,21,24,30,32,13,"89,311,042",1,14
2005-4-12,2005041,2,11,16,23,24,29,3,"78,144,480",3,36
2005-4-14,2005042,11,16,21,26,27,30,15,"79,192,448",2,24
2005-4-17,2005043,4,5,6,7,8,32,5,"91,903,906",7,14
2005-4-19,2005044,1,6,16,17,18,22,9,"70,627,418",0,32
2005-4-21,2005045,1,7,10,15,18,20,10,"77,512,424",0,19
2005-4-24,2005046,9,16,18,20,22,24,5,"91,639,786",1,23
2005-4-26,2005047,2,3,5,7,8,27,15,"77,150,922",0,22
2005-4-28,2005048,6,7,8,10,16,28,2,"80,188,244",0,29
2005-5-1,2005049,2,3,8,10,25,27,12,"87,276,712",1,9
2005-5-3,2005050,2,9,12,20,26,32,13,"132,579,703",0,23
2005-5-5,2005051,3,6,14,19,20,21,2,"72,706,272",1,43
2005-5-8,2005052,1,2,14,17,30,32,1,"90,275,684",1,20
2005-5-10,2005053,4,7,10,14,27,29,9,"76,967,356",3,25
2005-5-12,2005054,5,13,17,18,21,29,14,"81,854,430",1,34
2005-5-15,2005055,5,20,22,30,32,33,9,"93,309,308",2,20
2005-5-17,2005056,12,17,19,27,29,31,9,"76,174,508",4,46
2005-5-19,2005057,5,6,10,15,30,31,13,"79,892,628",1,20
2005-5-22,2005058,4,6,10,21,25,26,10,"93,045,298",1,36
2005-5-24,2005059,7,11,14,18,24,29,7,"78,358,206",5,63
2005-5-26,2005060,9,12,21,25,31,33,13,"80,020,874",3,17
2005-5-29,2005061,5,9,14,21,23,24,1,"91,763,234",0,20
2005-5-31,2005062,2,7,11,12,20,23,7,"78,069,394",4,32
2005-6-2,2005063,2,11,13,18,22,30,4,"78,062,342",2,14
2005-6-4,2005064,10,18,23,27,30,32,8,"91,725,346",1,22
2005-6-7,2005065,12,16,17,21,22,23,16,"78,406,326",2,17
2005-6-9,2005066,2,4,10,11,25,28,5,"78,834,656",2,30
2005-6-12,2005067,3,12,16,20,21,26,16,"91,360,150",2,40
2005-6-14,2005068,1,8,10,13,25,33,13,"76,931,454",3,20
2005-6-16,2005069,7,9,21,24,31,33,12,"77,421,708",0,17
2005-6-19,2005070,3,4,8,14,16,26,4,"93,029,490",2,21
2005-6-21,2005071,4,8,12,14,16,22,10,"76,440,970",0,15
2005-6-23,2005072,6,10,19,20,24,33,11,"79,624,618",3,38
2005-6-26,2005073,1,6,8,9,18,20,1,"91,231,396",2,29
2005-6-28,2005074,6,9,18,20,26,29,9,"77,117,314",4,26
2005-6-30,2005075,11,13,14,16,18,31,14,"77,727,922",2,14
2005-7-3,2005076,4,9,11,22,25,28,13,"89,406,860",1,45
2005-7-5,2005077,8,17,22,24,32,33,16,"76,776,232",1,25
2005-7-7,2005078,3,11,15,20,26,32,11,"78,597,462",1,24
2005-7-10,2005079,3,9,20,24,25,28,5,"90,690,486",2,24
2005-7-12,2005080,1,12,14,26,27,32,16,"77,732,422",1,27
2005-7-14,2005081,2,4,10,12,26,30,3,"78,229,226",2,37
2005-7-17,2005082,1,7,11,14,19,20,12,"90,397,368",1,40
2005-7-19,2005083,3,5,9,14,16,30,13,"76,251,350",3,25
2005-7-21,2005084,1,2,7,15,19,20,3,"78,941,520",8,28
2005-7-24,2005085,8,9,13,14,20,22,12,"89,568,388",1,47
2005-7-26,2005086,7,11,12,24,27,29,12,"77,364,602",5,61
2005-7-28,2005087,8,9,15,16,23,26,8,"79,213,276",1,37
2005-7-31,2005088,1,3,7,18,20,24,7,"90,904,986",1,27
2005-8-2,2005089,5,19,20,23,26,31,12,"79,337,620",0,25
2005-8-4,2005090,1,9,21,25,29,32,3,"82,913,536",1,10
2005-8-7,2005091,1,11,12,15,26,27,13,"95,665,834",2,28
2005-8-9,2005092,8,13,19,26,28,31,10,"82,564,864",4,25
2005-8-11,2005093,4,6,17,23,25,29,14,"81,066,546",2,61
2005-8-14,2005094,3,5,9,23,27,33,3,"92,955,416",0,16
2005-8-16,2005095,9,12,18,21,28,29,5,"81,902,156",0,27
2005-8-18,2005096,4,5,17,18,26,33,4,"85,977,004",1,28
2005-8-21,2005097,5,10,23,27,28,30,15,"95,744,622",4,19
2005-8-23,2005098,12,15,19,22,31,33,1,"82,354,218",2,18
2005-8-25,2005099,10,13,16,22,24,31,9,"84,539,242",3,12
2005-8-28,2005100,2,4,9,14,16,31,3,"98,607,066",0,19
2005-8-30,2005101,9,16,19,21,22,24,12,"83,203,780",0,17
2005-9-1,2005102,2,5,6,14,24,31,12,"85,261,292",0,7
2005-9-4,2005103,4,7,16,18,23,30,7,"101,882,938",7,72
2005-9-6,2005104,2,4,21,23,30,33,9,"87,523,934",1,7
2005-9-8,2005105,4,15,23,30,32,33,3,"87,687,830",2,14
2005-9-11,2005106,1,11,13,24,26,31,13,"99,286,104",6,35
2005-9-13,2005107,9,10,20,24,25,26,11,"84,794,920",3,35
2005-9-15,2005108,3,10,12,24,29,30,6,"84,723,006",4,24
2005-9-18,2005109,3,5,13,15,17,31,4,"95,781,382",1,17
2005-9-20,2005110,7,10,16,19,24,25,9,"80,799,964",2,24
2005-9-22,2005111,3,7,15,16,19,29,9,"84,986,902",1,24
2005-9-25,2005112,4,12,22,28,29,30,16,"96,648,022",0,24
2005-9-27,2005113,15,18,20,22,26,27,3,"84,045,660",4,11
2005-9-29,2005114,6,7,10,15,21,27,6,"83,220,546",2,20
2005-10-2,2005115,3,12,18,23,30,33,2,"100,744,056",2,27
2005-10-4,2005116,4,6,8,14,15,30,10,"82,761,716",2,14
2005-10-6,2005117,6,17,22,27,28,32,3,"88,046,422",1,34
2005-10-9,2005118,4,9,12,15,26,31,16,"100,005,930",3,113
2005-10-11,2005119,1,7,11,18,20,22,2,"84,606,492",1,73
2005-10-13,2005120,1,6,13,18,30,32,14,"85,309,164",0,15
2005-10-16,2005121,1,7,20,25,31,32,12,"98,424,618",1,9
2005-10-18,2005122,1,4,7,14,30,32,9,"86,580,310",1,11
2005-10-20,2005123,11,12,13,17,18,25,7,"88,748,762",4,32
2005-10-23,2005124,5,6,10,19,31,33,11,"100,141,228",3,34
2005-10-25,2005125,6,14,18,28,31,32,3,"87,866,546",5,10
2005-10-27,2005126,2,8,13,19,25,26,9,"89,725,146",13,148
2005-10-30,2005127,4,6,11,14,23,25,12,"100,319,936",2,22
2005-11-1,2005128,2,4,14,23,29,33,15,"90,364,038",7,23
2005-11-3,2005129,5,10,14,20,27,33,3,"92,402,414",1,40
2005-11-6,2005130,3,5,9,15,20,25,16,"107,409,392",6,104
2005-11-8,2005131,2,7,10,11,12,24,3,"92,470,384",1,47
2005-11-10,2005132,2,4,10,18,27,29,15,"94,130,152",0,22
2005-11-13,2005133,1,7,14,16,18,25,11,"112,647,856",2,108
2005-11-15,2005134,4,13,14,18,26,30,1,"96,024,468",0,27
2005-11-17,2005135,1,5,13,15,21,25,11,"98,055,380",2,15
2005-11-20,2005136,5,14,16,18,25,27,13,"110,922,040",2,46
2005-11-22,2005137,3,9,15,23,25,33,12,"94,838,566",2,36
2005-11-24,2005138,3,5,6,11,20,22,13,"99,148,234",0,34
2005-11-27,2005139,2,7,20,23,32,33,10,"113,954,368",4,19
2005-11-29,2005140,4,6,7,8,12,17,7,"97,816,778",1,17
2005-12-1,2005141,3,5,8,12,16,19,15,"98,736,818",4,55
2005-12-4,2005142,7,10,12,17,22,29,5,"107,920,884",6,33
2005-12-6,2005143,3,10,15,17,20,32,8,"89,833,786",3,16
2005-12-8,2005144,1,8,14,15,19,27,9,"93,615,492",3,33
2005-12-11,2005145,3,7,8,17,20,28,15,"107,763,236",5,64
2005-12-13,2005146,7,11,19,20,24,28,2,"91,683,000",3,39
2005-12-15,2005147,6,7,15,27,28,30,10,"92,151,598",0,27
2005-12-18,2005148,3,15,17,23,24,29,13,"107,658,676",3,47
2005-12-20,2005149,11,16,21,23,25,32,7,"93,699,080",2,27
2005-12-22,2005150,3,7,10,14,18,20,2,"94,339,478",1,54
2005-12-25,2005151,4,11,12,13,19,30,5,"112,380,820",3,56
2005-12-27,2005152,1,5,12,14,21,27,3,"94,543,810",8,46
2005-12-29,2005153,4,5,7,21,26,29,1,"97,908,590",1,16
2006-1-1,2006001,1,12,15,19,21,28,3,"118,081,372",2,21
2006-1-3,2006002,7,13,16,21,26,28,9,"94,624,640",5,34
2006-1-5,2006003,2,4,5,6,16,20,12,"97,626,902",1,17
2006-1-8,2006004,4,8,17,27,28,31,7,"110,726,140",7,61
2006-1-10,2006005,3,19,20,24,26,27,11,"95,099,522",2,20
2006-1-12,2006006,8,21,22,23,26,32,14,"95,871,778",3,14
2006-1-15,2006007,4,16,18,27,32,33,7,"111,611,858",2,22
2006-1-17,2006008,3,5,9,18,28,32,16,"91,800,142",9,117
2006-1-19,2006009,5,6,8,20,26,30,6,"91,943,224",4,51
2006-1-22,2006010,4,6,12,19,27,29,8,"110,089,308",17,93
2006-1-24,2006011,5,7,8,14,27,31,11,"89,227,522",2,28
2006-1-26,2006012,9,11,13,27,31,33,10,"101,562,774",3,28
2006-2-5,2006013,1,5,6,12,16,21,11,"84,977,250",1,30
2006-2-7,2006014,6,14,26,29,32,33,7,"82,668,894",2,12
2006-2-9,2006015,2,3,9,15,29,32,3,"88,355,360",5,22
2006-2-12,2006016,1,7,13,17,23,30,16,"103,427,620",2,105
2006-2-14,2006017,3,4,8,31,32,33,2,"89,616,926",2,28
2006-2-16,2006018,1,13,14,17,24,26,5,"87,008,450",0,17
2006-2-19,2006019,4,6,13,22,26,32,7,"105,480,332",2,21
2006-2-21,2006020,5,9,21,23,26,29,6,"93,253,284",1,39
2006-2-23,2006021,1,2,5,20,21,22,9,"94,454,936",2,26
2006-2-26,2006022,2,3,4,13,16,27,13,"109,077,186",0,17
